M/C,Output,Manpower Consumed,Per Manpower Output
360 (100ml),,,
360 (100ml) with carton,36401,32,1138
360 (300ml),101674,123,827
360 (500ml),2222710,1339,1660
305 (2.0/2.5ml),5131310,329,15597
305(5ml),,,
305(10ml),,,
3012(2.0ml),,,
3012(2.5ml),,,
3012(5.0/10ml),643525,160,4022
WFI(10ml),701800,149,4710
